,DWT_mean,DWT_std,DWT_energy,DWT_median,DWT_skewness,DWT_kurtosis,Label
0.001129,-8.31E-07,0.001219507,0.003712046,-1.55E-06,1.106653417,21.56838536,1
0.001071,4.33608E-05,0.001172841,0.003438083,2.84002E-07,1.88042164,22.41059826,1
-0.001197,9.39612E-05,0.001409105,0.004978033,-3.50E-06,3.791484366,33.75249912,1
-0.000255.1,0.000102802,0.001419039,0.005052503,-4.78E-06,3.91460951,32.89706755,1
-0.000303.1,0.000104731,0.001425095,0.005096493,-3.91E-07,4.645133811,37.3974707,1
-0.001855,5.34575E-06,0.001437696,0.00515923,6.28204E-06,1.132263442,34.14302275,1
0.000598,3.15459E-05,0.001288388,0.004145702,3.49665E-06,2.298499685,32.75698457,1
0.000953,0.000104615,0.001458277,0.005335242,3.2453E-06,3.520800879,29.49126588,1
0.001297,0.000142861,0.001335135,0.004500276,3.90735E-06,4.412506535,31.71380153,1
0.000662,4.68556E-05,0.000509335,0.000652997,1.91579E-06,1.309427565,11.14243901,0
-0.000326,5.12408E-05,0.000542543,0.000741258,3.85596E-06,1.244240143,8.542577972,0
-0.000395,6.00459E-05,0.000542903,0.000744679,3.78203E-06,1.369503231,8.661217633,0
-0.000015,4.37554E-05,0.000517807,0.000674016,3.02501E-06,0.84125614,11.53837799,0
0.000197,3.30795E-05,0.000488414,0.000598147,-3.07E-06,1.200744662,13.77874884,0
0.000284,6.73547E-05,0.000555813,0.000782409,2.1676E-06,1.919889626,11.2342044,0
0.000363,0.00010016,0.000693273,0.001224686,2.67341E-06,3.142425359,15.11265067,0
0.000363.1,8.56248E-05,0.000641862,0.001046619,-1.41E-06,2.776827682,14.96941836,0
0.000064,6.60108E-05,0.000556998,0.000785252,1.15235E-06,1.982324913,10.93801439,0
0.000468,6.91225E-05,0.000486479,0.000602634,4.92635E-07,3.721688312,19.31723164,0
0.000647.1,6.24158E-05,0.000448467,0.000511727,2.38802E-06,3.452956241,17.99497923,0
0.000249,6.10014E-05,0.000438582,0.000489403,7.98212E-07,3.260577541,16.42625003,0
0.000098,6.12777E-05,0.000452426,0.000520277,-1.53E-06,3.255632282,16.31829017,0
0.000664,6.35813E-05,0.000473565,0.000569853,1.50964E-07,3.581788604,21.43551129,0
0.000363.2,5.92376E-05,0.00046991,0.000559913,-1.28E-06,3.01856496,15.6762611,0
0.000136.1,5.95708E-05,0.000462481,0.000542723,2.66024E-07,3.304468734,19.71852376,0
0.000493,6.79415E-05,0.000486969,0.00060342,-1.73E-06,3.4377032,17.85693741,0
0.000207,6.49983E-05,0.000494071,0.000619833,3.93515E-08,3.716099254,20.2706037,0
0.000327,8.39529E-05,0.000557646,0.000793772,4.24181E-07,4.012705845,20.5934629,0
0.00082,8.10483E-05,0.000565405,0.000814325,1.44162E-07,4.294584831,24.14851818,0
0.00289,0.000322412,0.001975336,0.009998731,8.38237E-07,6.270317847,41.70495881,1
